epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7976,1.27879,1.86054,1.29071,0.71658,0.57211,0.68724,0.51039,1.06825,0.99576,1.08914,3.689e-05,3.689e-05,3.689e-05
2,57.7465,1.21372,1.60504,1.25286,0.69124,0.6068,0.68629,0.51323,1.07476,0.99661,1.08957,6.7548e-05,6.7548e-05,6.7548e-05
3,90.6835,1.18797,1.51759,1.20121,0.74701,0.57594,0.68437,0.50251,1.07685,0.99721,1.08898,9.06661e-05,9.06661e-05,9.06661e-05
4,124.083,1.24189,1.62339,1.25891,0.73772,0.59529,0.69549,0.513,1.07981,0.99794,1.09032,8.3657e-05,8.3657e-05,8.3657e-05
5,157.026,1.16165,1.42846,1.20458,0.7216,0.60951,0.692,0.51502,1.07007,0.9822,1.08215,7.1876e-05,7.1876e-05,7.1876e-05
6,204.116,1.25203,1.56948,1.25624,0.70714,0.62786,0.69986,0.52229,1.0565,0.97236,1.07492,6.0095e-05,6.0095e-05,6.0095e-05
7,245.684,1.15962,1.33452,1.21997,0.68856,0.64613,0.70464,0.52926,1.04351,0.96006,1.06788,4.8314e-05,4.8314e-05,4.8314e-05
8,281.132,1.15919,1.38657,1.2186,0.74582,0.63247,0.71226,0.5329,1.03795,0.95193,1.06497,3.6533e-05,3.6533e-05,3.6533e-05
9,316.475,1.11876,1.29263,1.17035,0.70382,0.6536,0.71445,0.53656,1.02594,0.94558,1.05978,2.4752e-05,2.4752e-05,2.4752e-05
10,356.194,1.1287,1.28023,1.18601,0.71121,0.64844,0.7109,0.53526,1.02663,0.94002,1.05987,1.2971e-05,1.2971e-05,1.2971e-05
